dataset_name,factor_id,descriptor_name,weight
ml1m,1,genre_action,0.035979364067316055
ml1m,1,genre_adventure,9.99999993922529e-09
ml1m,1,genre_animation,0.01167361717671156
ml1m,1,genre_childrens,0.0829901397228241
ml1m,1,genre_comedy,0.05086756497621536
ml1m,1,genre_crime,0.02604304999113083
ml1m,1,genre_documentary,9.99999993922529e-09
ml1m,1,genre_drama,0.07777590304613113
ml1m,1,genre_fantasy,0.004615886136889458
ml1m,1,genre_film_noir,0.08829565346240997
ml1m,1,genre_horror,0.08997482061386108
ml1m,1,genre_musical,0.06551452726125717
ml1m,1,genre_mystery,9.99999993922529e-09
ml1m,1,genre_romance,0.06465707719326019
ml1m,1,genre_sci_fi,0.04134577512741089
ml1m,1,genre_thriller,0.05456933006644249
ml1m,1,genre_war,0.06821109354496002
ml1m,1,genre_western,9.99999993922529e-09
ml1m,2,genre_action,0.04509009048342705
ml1m,2,genre_adventure,0.02229774370789528
ml1m,2,genre_animation,0.03634050861001015
ml1m,2,genre_childrens,0.03482009097933769
ml1m,2,genre_comedy,0.01618052087724209
ml1m,2,genre_crime,0.06619936227798462
ml1m,2,genre_documentary,0.07464133203029633
ml1m,2,genre_drama,0.08127372711896896
ml1m,2,genre_fantasy,0.07517116516828537
ml1m,2,genre_film_noir,9.99999993922529e-09
ml1m,2,genre_horror,0.003416827879846096
ml1m,2,genre_musical,0.023997630923986435
ml1m,2,genre_mystery,0.07923068851232529
ml1m,2,genre_romance,0.07986420392990112
ml1m,2,genre_sci_fi,0.01519314106553793
ml1m,2,genre_thriller,0.03259150683879852
ml1m,2,genre_war,0.04914529621601105
ml1m,2,genre_western,0.026716940104961395
ml1m,3,genre_action,0.09307359904050827
ml1m,3,genre_adventure,0.05431916192173958
ml1m,3,genre_animation,0.0237275417894125
ml1m,3,genre_childrens,0.0010187154402956367
ml1m,3,genre_comedy,0.06838680058717728
ml1m,3,genre_crime,0.06650599092245102
ml1m,3,genre_documentary,0.03777557983994484
ml1m,3,genre_drama,0.03669501096010208
ml1m,3,genre_fantasy,0.014866843819618225
