dataset_name,model_name,user_id,item_id,rank,score,dominant_factors,fidelity_at_2,fidelity_at_3
ml_latest_small,coupled_nmf,68,1261,5,4.0747971534729,"f24,f4,f30",0.2193244099617004,0.3129704594612121
ml_latest_small,coupled_nmf,68,1580,6,4.029273986816406,"f4,f24,f30",0.2121651768684387,0.2893813252449035
ml_latest_small,coupled_nmf,68,898,1,4.266818046569824,"f4,f30,f24",0.1996501833200454,0.2880002558231354
ml_latest_small,coupled_nmf,68,930,10,3.997116088867188,"f4,f24,f30",0.195684939622879,0.2815448343753814
ml_latest_small,coupled_nmf,68,922,7,4.0223541259765625,"f4,f24,f30",0.2001478374004364,0.2790175974369049
ml_latest_small,coupled_nmf,68,908,3,4.113162994384766,"f24,f30,f4",0.1926100403070449,0.2782495021820068
ml_latest_small,coupled_nmf,68,246,9,3.9972500801086426,"f4,f24,f30",0.2063465565443039,0.2774280607700348
ml_latest_small,coupled_nmf,68,7371,4,4.089668273925781,"f30,f4,f24",0.1923763155937194,0.2719918489456177
ml_latest_small,coupled_nmf,68,1272,8,4.018908500671387,"f30,f4,f3",0.2033522129058838,0.2685281932353973
ml_latest_small,coupled_nmf,68,1204,2,4.135505676269531,"f4,f30,f24",0.1724512428045272,0.2447393536567688
ml_latest_small,coupled_nmf,63,296,3,4.10630989074707,"f16,f5,f37",0.155728280544281,0.2235025763511657
ml_latest_small,coupled_nmf,22,260,7,3.134305953979492,"f40,f13,f10",0.1573156863451004,0.2210696935653686
ml_latest_small,coupled_nmf,22,750,2,3.186739921569824,"f40,f13,f38",0.1500437557697296,0.2171492129564285
ml_latest_small,coupled_nmf,76,2571,1,3.6390345096588135,"f17,f16,f5",0.147966131567955,0.2164423465728759
ml_latest_small,coupled_nmf,22,1221,8,3.1241512298583984,"f13,f40,f16",0.1639397740364074,0.2156713008880615
ml_latest_small,coupled_nmf,50,296,1,3.43606185913086,"f17,f6,f16",0.1572303473949432,0.2148665487766266
ml_latest_small,coupled_nmf,57,527,5,4.305190086364746,"f6,f2,f11",0.1597168743610382,0.2104735821485519
ml_latest_small,coupled_nmf,21,1223,5,4.007551193237305,"f4,f28,f22",0.1552081704139709,0.2078924179077148
ml_latest_small,coupled_nmf,19,5952,1,3.929672718048096,"f10,f22,f32",0.1531517952680587,0.2072488516569137
ml_latest_small,coupled_nmf,91,4993,4,4.144161224365234,"f24,f15,f5",0.1471768766641616,0.2062771469354629
