dataset_name,model_name,user_id,item_id,rank,score,dominant_factors,fidelity_at_2,fidelity_at_3
ml_latest_small,coupled_nmf,1,1204,1,5.33174991607666,"f12,f22,f37",0.07346383482217789,0.10835236310958862
ml_latest_small,coupled_nmf,1,904,2,5.284067153930664,"f26,f12,f37",0.0788588896393776,0.11571687459945679
ml_latest_small,coupled_nmf,1,898,3,5.281895637512207,"f37,f22,f12",0.07450741529464722,0.10788711905479431
ml_latest_small,coupled_nmf,1,1235,4,5.202785491943359,"f8,f16,f22",0.07418396323919296,0.10953816026449203
ml_latest_small,coupled_nmf,1,1223,5,5.1987433433532715,"f15,f22,f12",0.07581163197755814,0.10972069203853607
ml_latest_small,coupled_nmf,1,1276,6,5.163609504699707,"f12,f37,f22",0.07530772686004639,0.11173741519451141
ml_latest_small,coupled_nmf,1,2160,7,5.149080276489258,"f12,f26,f8",0.07048971951007843,0.1032906249165535
ml_latest_small,coupled_nmf,1,1148,8,5.143245697021484,"f37,f16,f26",0.08481207489967346,0.12041806429624557
ml_latest_small,coupled_nmf,1,908,9,5.142285346984863,"f22,f14,f26",0.07246964424848557,0.1067972183227539
ml_latest_small,coupled_nmf,1,1945,10,5.142037391662598,"f12,f37,f15",0.07390794903039932,0.10914334654808044
ml_latest_small,coupled_nmf,2,1204,1,4.363873481750488,"f22,f21,f6",0.06613843888044357,0.09759155660867691
ml_latest_small,coupled_nmf,2,898,2,4.335440158843994,"f24,f33,f22",0.06724142283201218,0.09917581081390381
ml_latest_small,coupled_nmf,2,908,3,4.272512435913086,"f21,f24,f40",0.07599480450153351,0.11113955825567245
ml_latest_small,coupled_nmf,2,1235,4,4.272252559661865,"f8,f22,f39",0.06936400383710861,0.102411188185215
ml_latest_small,coupled_nmf,2,904,5,4.272190093994141,"f26,f6,f22",0.07128284126520157,0.10598481446504593
ml_latest_small,coupled_nmf,2,2959,6,4.2430572509765625,"f17,f6,f14",0.08409139513969421,0.12532062828540802
ml_latest_small,coupled_nmf,2,1223,7,4.241054534912109,"f22,f15,f9",0.06910981237888336,0.10165493190288544
ml_latest_small,coupled_nmf,2,1104,8,4.235805511474609,"f15,f21,f22",0.06328238546848297,0.09446755051612854
ml_latest_small,coupled_nmf,2,2160,9,4.230771064758301,"f21,f27,f6",0.06660447269678116,0.09900246560573578
ml_latest_small,coupled_nmf,2,750,10,4.227396011352539,"f24,f22,f6",0.07854399085044861,0.11480791121721268
ml_latest_small,coupled_nmf,3,904,1,1.7131949663162231,"f26,f12,f1",0.1079130470752716,0.1518733948469162
ml_latest_small,coupled_nmf,3,1204,2,1.713106393814087,"f26,f12,f4",0.09787797182798386,0.14394527673721313
