dataset_name,user_id,item_id,score,dominant_factors
ml_latest_small,1,1204,5.33174991607666,"f12,f22,f37"
ml_latest_small,1,904,5.284067153930664,"f26,f12,f37"
ml_latest_small,1,898,5.281895637512207,"f37,f22,f12"
ml_latest_small,1,1235,5.202785491943359,"f8,f16,f22"
ml_latest_small,1,1223,5.1987433433532715,"f15,f22,f12"
ml_latest_small,1,1276,5.163609504699707,"f12,f37,f22"
ml_latest_small,1,2160,5.149080276489258,"f12,f26,f8"
ml_latest_small,1,1148,5.143245697021484,"f37,f16,f26"
ml_latest_small,1,908,5.142285346984863,"f22,f14,f26"
ml_latest_small,1,1945,5.142037391662598,"f12,f37,f15"
ml_latest_small,2,1204,4.363873481750488,"f22,f21,f6"
ml_latest_small,2,898,4.335440158843994,"f24,f33,f22"
ml_latest_small,2,908,4.272512435913086,"f21,f24,f40"
ml_latest_small,2,1235,4.272252559661865,"f8,f22,f39"
ml_latest_small,2,904,4.272190093994141,"f26,f6,f22"
ml_latest_small,2,2959,4.2430572509765625,"f17,f6,f14"
ml_latest_small,2,1223,4.241054534912109,"f22,f15,f9"
ml_latest_small,2,1104,4.235805511474609,"f15,f21,f22"
ml_latest_small,2,2160,4.230771064758301,"f21,f27,f6"
ml_latest_small,2,750,4.227396011352539,"f24,f22,f6"
ml_latest_small,3,904,1.7131949663162231,"f26,f12,f1"
ml_latest_small,3,1204,1.713106393814087,"f26,f12,f4"
ml_latest_small,3,898,1.6834909915924072,"f4,f12,f26"
ml_latest_small,3,1104,1.6792151927947998,"f4,f1,f15"
ml_latest_small,3,356,1.6691335439682007,"f1,f12,f4"
ml_latest_small,3,1235,1.6685032844543457,"f1,f32,f15"
ml_latest_small,3,1223,1.6644742488861084,"f4,f15,f26"
ml_latest_small,3,2160,1.661048173904419,"f26,f12,f4"
ml_latest_small,3,1945,1.6484450101852417,"f4,f12,f15"
ml_latest_small,3,908,1.6465249061584473,"f1,f26,f4"
ml_latest_small,4,898,4.160427093505859,"f21,f3,f30"
ml_latest_small,4,1204,4.144308090209961,"f21,f8,f25"
ml_latest_small,4,1235,4.070055961608887,"f21,f8,f25"
ml_latest_small,4,527,4.065465450286865,"f21,f6,f1"
ml_latest_small,4,246,4.055129528045654,"f21,f25,f12"
ml_latest_small,4,2160,4.0489044189453125,"f21,f8,f25"
ml_latest_small,4,750,4.046481132507324,"f21,f31,f40"
ml_latest_small,4,1225,4.04059362411499,"f21,f29,f26"
ml_latest_small,4,1104,4.032409191131592,"f21,f3,f8"
ml_latest_small,4,1233,4.0230793952941895,"f21,f6,f31"
ml_latest_small,5,1204,4.350583553314209,"f40,f21,f14"
ml_latest_small,5,898,4.331574440002441,"f40,f21,f33"
ml_latest_small,5,2959,4.3180437088012695,"f16,f17,f14"
ml_latest_small,5,904,4.279025077819824,"f26,f6,f14"
ml_latest_small,5,908,4.278781890869141,"f40,f21,f1"
ml_latest_small,5,1235,4.273209095001221,"f40,f1,f21"
ml_latest_small,5,1104,4.248674392700195,"f1,f40,f23"
ml_latest_small,5,750,4.238471031188965,"f40,f1,f21"
ml_latest_small,5,4973,4.2347540855407715,"f1,f17,f6"
ml_latest_small,5,2160,4.232311725616455,"f40,f21,f1"
ml_latest_small,6,898,4.76070499420166,"f4,f23,f20"
ml_latest_small,6,908,4.7422194480896,"f23,f20,f25"
ml_latest_small,6,1204,4.74001932144165,"f12,f10,f25"
ml_latest_small,6,356,4.694352149963379,"f1,f12,f8"
ml_latest_small,6,904,4.674193382263184,"f23,f10,f12"
ml_latest_small,6,7371,4.654596328735352,"f27,f20,f10"
ml_latest_small,6,1272,4.6474409103393555,"f25,f4,f20"
ml_latest_small,6,1104,4.6242218017578125,"f23,f4,f1"
ml_latest_small,6,246,4.614104270935059,"f4,f12,f25"
ml_latest_small,6,1235,4.608590602874756,"f8,f25,f27"
ml_latest_small,7,1204,4.270883560180664,"f38,f34,f21"
ml_latest_small,7,2959,4.253368854522705,"f38,f5,f26"
ml_latest_small,7,908,4.2194504737854,"f21,f38,f40"
ml_latest_small,7,318,4.216147422790527,"f38,f34,f2"
ml_latest_small,7,898,4.215719223022461,"f34,f21,f38"
ml_latest_small,7,1235,4.180569171905518,"f38,f2,f21"
ml_latest_small,7,1198,4.175630569458008,"f2,f34,f5"
ml_latest_small,7,527,4.175411701202393,"f34,f2,f21"
ml_latest_small,7,904,4.167840003967285,"f26,f2,f34"
ml_latest_small,7,2160,4.138580799102783,"f21,f26,f34"
