dataset_name,model_name,user_id,item_id,rank,score,dominant_factors_3,dominant_factors_5,dominant_factors_10,fidelity_at_2,fidelity_at_3,fidelity_at_5,fidelity_at_10
ml_latest_small,coupled_nmf,68,1261,5,4.0747971534729,"f24,f4,f30","f24,f4,f30,f3,f28","f24,f4,f30,f3,f28,f10,f5,f9,f27,f23",0.21932440996170044,0.31297045946121216,0.4215087592601776,0.6410602927207947
ml_latest_small,coupled_nmf,68,1580,6,4.029273986816406,"f4,f24,f30","f4,f24,f30,f3,f9","f4,f24,f30,f3,f9,f10,f28,f33,f5,f2",0.21216517686843872,0.28938132524490356,0.412089467048645,0.6406358480453491
ml_latest_small,coupled_nmf,68,898,1,4.266818046569824,"f4,f30,f24","f4,f30,f24,f28,f3","f4,f30,f24,f28,f3,f10,f33,f23,f5,f9",0.19965018332004547,0.2880002558231354,0.41667500138282776,0.6392300724983215
ml_latest_small,coupled_nmf,68,7371,4,4.089668273925781,"f30,f4,f24","f30,f4,f24,f28,f3","f30,f4,f24,f28,f3,f10,f27,f9,f23,f21",0.19237631559371948,0.2719918489456177,0.39523905515670776,0.6230037808418274
ml_latest_small,coupled_nmf,68,246,9,3.9972500801086426,"f4,f24,f30","f4,f24,f30,f28,f10","f4,f24,f30,f28,f10,f3,f27,f9,f5,f21",0.2063465565443039,0.2774280607700348,0.39090409874916077,0.6229389309883118
ml_latest_small,coupled_nmf,68,930,10,3.9971160888671875,"f4,f24,f30","f4,f24,f30,f9,f10","f4,f24,f30,f9,f10,f28,f3,f27,f5,f21",0.19568493962287903,0.28154483437538147,0.3929843604564667,0.6197969317436218
ml_latest_small,coupled_nmf,68,1272,8,4.018908500671387,"f30,f4,f3","f30,f4,f3,f24,f28","f30,f4,f3,f24,f28,f9,f10,f38,f27,f23",0.2033522129058838,0.26852819323539734,0.38656720519065857,0.6193255186080933
ml_latest_small,coupled_nmf,68,908,3,4.113162994384766,"f24,f30,f4","f24,f30,f4,f3,f10","f24,f30,f4,f3,f10,f28,f21,f23,f33,f27",0.19261004030704498,0.27824950218200684,0.40005171298980713,0.6191777586936951
ml_latest_small,coupled_nmf,68,922,7,4.0223541259765625,"f4,f24,f30","f4,f24,f30,f9,f28","f4,f24,f30,f9,f28,f3,f10,f23,f38,f5",0.2001478374004364,0.2790175974369049,0.3877849280834198,0.6105836033821106
ml_latest_small,coupled_nmf,68,1204,2,4.135505676269531,"f4,f30,f24","f4,f30,f24,f28,f3","f4,f30,f24,f28,f3,f10,f9,f38,f5,f21",0.17245124280452728,0.2447393536567688,0.37041983008384705,0.60146564245224
ml_latest_small,coupled_nmf,63,296,3,4.10630989074707,"f16,f5,f37","f16,f5,f37,f6,f40","f16,f5,f37,f6,f40,f38,f17,f14,f34,f18",0.155728280544281,0.22350257635116577,0.3368382751941681,0.5610620379447937
ml_latest_small,coupled_nmf,50,296,1,3.4360618591308594,"f17,f6,f16","f17,f6,f16,f18,f26","f17,f6,f16,f18,f26,f37,f38,f14,f36,f40",0.15723034739494324,0.2148665487766266,0.31598401069641113,0.5486821532249451
ml_latest_small,coupled_nmf,22,260,7,3.134305953979492,"f40,f13,f10","f40,f13,f10,f3,f38","f40,f13,f10,f3,f38,f11,f16,f9,f27,f34",0.1573156863451004,0.22106969356536865,0.3437136709690094,0.5405029654502869
ml_latest_small,coupled_nmf,76,50,2,3.631124496459961,"f16,f17,f5","f16,f17,f5,f37,f36","f16,f17,f5,f37,f36,f18,f31,f6,f11,f14",0.1530349850654602,0.20478062331676483,0.3022864758968353,0.5277695655822754
ml_latest_small,coupled_nmf,22,1221,8,3.1241512298583984,"f13,f40,f16","f13,f40,f16,f29,f3","f13,f40,f16,f29,f3,f10,f36,f22,f9,f1",0.16393977403640747,0.21567130088806152,0.3117196559906006,0.525413990020752
ml_latest_small,coupled_nmf,76,2571,1,3.6390345096588135,"f17,f16,f5","f17,f16,f5,f14,f30","f17,f16,f5,f14,f30,f18,f15,f2,f39,f38",0.14796613156795502,0.21644234657287598,0.31055352091789246,0.5235028862953186
ml_latest_small,coupled_nmf,21,54001,6,4.005800247192383,"f4,f27,f24","f4,f27,f24,f28,f3","f4,f27,f24,f28,f3,f10,f22,f12,f35,f5",0.15378375351428986,0.20559850335121155,0.30636903643608093,0.513546347618103
