dataset_name,model_name,user_id,item_id,rank,score,dominant_factors,fidelity_at_2,fidelity_at_3
ml_latest_small,coupled_nmf,65,2160,9,4.309695243835449,"f26,f12,f6",0.0622279085218906,0.0915302783250808
ml_latest_small,coupled_nmf,69,1104,10,4.995460510253906,"f1,f15,f26",0.0617377087473869,0.0919281467795372
ml_latest_small,coupled_nmf,65,898,2,4.431973457336426,"f37,f11,f3",0.06228644028306,0.0927332788705825
ml_latest_small,coupled_nmf,48,2160,10,4.807907104492188,"f18,f26,f27",0.0625190511345863,0.0927659124135971
ml_latest_small,coupled_nmf,16,898,2,4.100350379943848,"f4,f22,f29",0.0622658766806125,0.0930886268615722
ml_latest_small,coupled_nmf,30,2160,10,5.094884872436523,"f28,f24,f12",0.063313141465187,0.0930902063846588
ml_latest_small,coupled_nmf,49,1235,5,4.612386703491211,"f39,f35,f19",0.0621875040233135,0.0932023003697395
ml_latest_small,coupled_nmf,16,2160,10,3.997890710830689,"f12,f28,f40",0.0631758645176887,0.0932153016328811
ml_latest_small,coupled_nmf,49,2160,10,4.560681343078613,"f28,f26,f3",0.0640454888343811,0.0932581052184104
ml_latest_small,coupled_nmf,17,2160,8,4.55023193359375,"f32,f8,f27",0.062917485833168,0.0935036092996597
ml_latest_small,coupled_nmf,9,898,3,4.771782875061035,"f3,f36,f37",0.0624722316861152,0.0935234054923057
ml_latest_small,coupled_nmf,17,1104,9,4.549405097961426,"f15,f10,f1",0.0639436915516853,0.0939890295267105
ml_latest_small,coupled_nmf,88,898,4,4.805854797363281,"f3,f28,f22",0.0637235715985298,0.0941824913024902
ml_latest_small,coupled_nmf,48,1235,4,4.839526176452637,"f7,f19,f22",0.0642874538898468,0.0944637209177017
ml_latest_small,coupled_nmf,2,1104,8,4.235805511474609,"f15,f21,f22",0.0632823854684829,0.0944675505161285
ml_latest_small,coupled_nmf,99,1235,7,5.392141819000244,"f1,f25,f33",0.0650784522294998,0.0945167168974876
ml_latest_small,coupled_nmf,70,2160,9,4.7611589431762695,"f25,f18,f8",0.065003678202629,0.0946339070796966
ml_latest_small,coupled_nmf,65,1104,5,4.342012405395508,"f15,f1,f39",0.0644838735461235,0.0947579219937324
ml_latest_small,coupled_nmf,97,1235,4,5.052549362182617,"f2,f21,f7",0.0635734722018241,0.0948176532983779
ml_latest_small,coupled_nmf,69,1235,6,5.026504039764404,"f2,f35,f39",0.0655480623245239,0.094895601272583
